,Name,Display,Memory,Camera,Original_Price,Discounted_Price,Off_Upto
218,"Samsung Galaxy S24 5G Snapdragon (Cobalt Violet, 256 GB)",15.75 cm (6.2 inch) Full HD+ Display,8 GB RAM | 256 GB ROM,50MP + 12MP | 12MP Front Camera,"₹79,999","₹45,999",42% off
219,MOTOROLA A10V DS Keypad Phone with Voice Feature|800 mAh Battery|Wireless FM Recording,4.57 cm (1.8 inch) Display,4 MB RAM | 32 MB ROM | Expandable Upto 64 GB,800 mAh Battery,"₹1,550",₹996,35% off
220,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",17.02 cm (6.7 inch) HD+ Display,6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,50MP + 2MP | 8MP Front Camera,"₹16,999","₹9,999",41% off
221,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",17.02 cm (6.7 inch) HD+ Display,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,50MP + 2MP | 8MP Front Camera,"₹15,499","₹8,999",41% off
222,"realme Narzo 80 Lite 4G (Obsidian Black, 64 GB)",17.12 cm (6.74 inch) HD+ Display,4 GB RAM | 64 GB ROM,13MP Rear Camera,"₹8,999","₹7,244",19% off
223,"MOTOROLA G96 5G (Pantone Dresden Blue, 128 GB)",16.94 cm (6.67 inch) Full HD+ Display,8 GB RAM | 128 GB ROM,50MP + 8MP | 32MP Front Camera,"₹20,999","₹18,999",9% off
224,"realme P4x 5G (Matte Silver, 128 GB)",17.07 cm (6.72 inch) Full HD+ Display,6 GB RAM | 128 GB ROM,50MP + 2MP | 8MP Front Camera,"₹17,999","₹15,999",11% off
225,"Google Pixel 9A (Porcelain, 256 GB)",15.96 cm (6.285 inch) Full HD+ Display,8 GB RAM | 256 GB ROM,48MP + 12MP | 12MP Front Camera,"₹49,999","₹44,999",10% off
226,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)",16.94 cm (6.67 inch) HD+ Display,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP + 2MP | 8MP Front Camera,"₹15,999","₹12,499",21% off
227,"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)",15.75 cm (6.2 inch) Full HD+ Display,8 GB RAM | 128 GB ROM,50MP + 12MP | 12MP Front Camera,"₹74,999","₹40,999",45% off
228,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)",16.94 cm (6.67 inch) Display,8 GB RAM | 256 GB ROM,50MP + 2MP | 16MP Front Camera,"₹24,999","₹21,999",12% off
229,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Prism Black, 128 GB)",16.94 cm (6.67 inch) Display,8 GB RAM | 128 GB ROM,50MP + 2MP | 16MP Front Camera,"₹22,999","₹19,999",13% off
230,"MOTOROLA Edge 70 (PANTONE Bronze Green, 256 GB)",17.02 cm (6.7 inch) Display,8 GB RAM | 256 GB ROM,50MP + 50MP | 50MP Front Camera,"₹34,999","₹29,999",14% off
231,"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)",17.02 cm (6.7 inch) HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB,50MP + 2MP | 8MP Front Camera,"₹13,999","₹8,499",39% off
232,"MOTOROLA G96 5G (Pantone Greener Pastures, 128 GB)",16.94 cm (6.67 inch) Full HD+ Display,8 GB RAM | 128 GB ROM,50MP + 8MP | 32MP Front Camera,"₹20,999","₹18,999",9% off
233,"realme 14x 5G (Jewel Red, 128 GB)",16.94 cm (6.67 inch) HD+ Display,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP Rear Camera | 8MP Front Camera,"₹17,999","₹14,906",17% off
234,"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)",16.76 cm (6.6 inch) Full HD+ Display,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 8MP + 5MP | 13MP Front Camera,"₹33,999","₹18,499",45% off
235,"Samsung Galaxy A55 5G (Awesome Iceblue, 128 GB)",16.76 cm (6.6 inch) Full HD+ Display,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 12MP + 5MP | 32MP Front Camera,"₹42,999","₹26,199",39% off
236,"Samsung Galaxy S24 FE 5G (Blue, 128 GB)",17.02 cm (6.7 inch) Full HD+ Display,8 GB RAM | 128 GB ROM,50MP + 12MP + 8MP | 10MP Front Camera,"₹59,999","₹34,999",41% off
237,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",17.02 cm (6.7 inch) HD+ Display,6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,50MP + 2MP | 8MP Front Camera,"₹16,999","₹9,999",41% off
238,"realme C61 (Marble Black, 128 GB)",17.13 cm (6.745 inch) HD+ Display,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,32MP Rear Camera | 5MP Front Camera,"₹9,999","₹8,499",15% off
239,"realme C61 (Safari Green, 128 GB)",17.13 cm (6.745 inch) HD+ Display,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,32MP Rear Camera | 5MP Front Camera,"₹9,999","₹8,499",15% off
